commit_hash,author,date,message,file_name,lines_added,lines_deleted,nloc,is_bug_fix
5310fc38227b1907cb541f4a30ea8dfef46c2e19,Armin Ronacher,2010-04-17 14:10:47+02:00,"session falls back to a dummy object now if secret_key is missing.

this makes it possible to still read-only access the empty session but
requires the secret key to be set for write access.  the error message
raised explains that.  this closes #10.",flask.py,20,3,224.0,1
5310fc38227b1907cb541f4a30ea8dfef46c2e19,Armin Ronacher,2010-04-17 14:10:47+02:00,"session falls back to a dummy object now if secret_key is missing.

this makes it possible to still read-only access the empty session but
requires the secret key to be set for write access.  the error message
raised explains that.  this closes #10.",flask_tests.py,14,0,169.0,1
0b9c2b5eb1b604cd76d9252e8e9628df731ea572,Armin Ronacher,2010-04-17 14:32:52+02:00,removed refactoring leftover,flask.py,0,1,223.0,0
63593d281b7358a86a808cc0bf5e47107316403d,Armin Ronacher,2010-04-18 14:39:27+02:00,removed unused import,flask.py,0,1,222.0,0
190059c8f01c6f75243824e765d08a7cce386eda,Armin Ronacher,2010-04-18 15:44:06+02:00,added support for macro pulling and documented certain design decisions.,flask.py,30,1,225.0,0
190059c8f01c6f75243824e765d08a7cce386eda,Armin Ronacher,2010-04-18 15:44:06+02:00,added support for macro pulling and documented certain design decisions.,flask_tests.py,6,0,174.0,0
bf52a17902cdbc300ee91ec1b2e8d2b7890ba35c,Armin Ronacher,2010-04-18 16:29:41+02:00,removed useless code,flaskr_tests.py,0,1,39.0,0
0770f5c6375e3e45fa3ac918217df5d885176173,Armin Ronacher,2010-04-18 23:37:03+02:00,removed two unused imports.,flask.py,2,3,224.0,0
73a47a0db1a181bb305684115d3dacded0c5a58b,Armin Ronacher,2010-04-18 23:42:11+02:00,removed unused stuff from minitwit and fixed a bug.,minitwit.py,1,3,171.0,1
ce18d4575dd8468878668d777d83448eeae4fd0d,Armin Ronacher,2010-04-19 02:22:59+02:00,added wtforms documentation.,conf.py,2,1,32.0,0
6e2be6a0b3aba4ab49cf3ed1a10ac13c6b771aba,Armin Ronacher,2010-04-19 15:39:07+02:00,added json support and started working on jquery docs,jqueryexample.py,29,0,12.0,0
6e2be6a0b3aba4ab49cf3ed1a10ac13c6b771aba,Armin Ronacher,2010-04-19 15:39:07+02:00,added json support and started working on jquery docs,flask.py,56,2,244.0,0
6e2be6a0b3aba4ab49cf3ed1a10ac13c6b771aba,Armin Ronacher,2010-04-19 15:39:07+02:00,added json support and started working on jquery docs,flask_tests.py,30,2,198.0,0
ade490514dd6d83adc7610f69f9c4cd68df47110,Armin Ronacher,2010-04-19 18:51:04+02:00,"fixed a security problem caused by changed simplejson semantics.

notice: this was never in a release version of flask.",flask.py,6,1,246.0,1
ade490514dd6d83adc7610f69f9c4cd68df47110,Armin Ronacher,2010-04-19 18:51:04+02:00,"fixed a security problem caused by changed simplejson semantics.

notice: this was never in a release version of flask.",flask_tests.py,6,0,203.0,1
3088a9371e065808fd0091741f62bc242bcab1f9,unknown,2010-04-20 00:29:56+08:00,"make it easier to associate a rule, endpoint and view_function
this resolves http://github.com/mitsuhiko/flask/issues/issue/11",flask.py,9,3,248.0,1
3088a9371e065808fd0091741f62bc242bcab1f9,unknown,2010-04-20 00:29:56+08:00,"make it easier to associate a rule, endpoint and view_function
this resolves http://github.com/mitsuhiko/flask/issues/issue/11",flask_tests.py,24,0,224.0,1
5acc491c94262912baa30a4cffc780a46b7faf56,cgrinds,2010-04-20 01:11:58+08:00,"refactored the @route decorator to use the new add_url_rule method.
tagged add_url_rule with versionadded of 0.2",flask.py,3,2,247.0,0
95750b3287bfa21fbb706f10a3a9fbcef01c089e,Armin Ronacher,2010-04-19 23:49:02+02:00,documented some routing converter possibilities.,flask.py,19,4,247.0,0
95750b3287bfa21fbb706f10a3a9fbcef01c089e,Armin Ronacher,2010-04-19 23:49:02+02:00,documented some routing converter possibilities.,flask_tests.py,16,1,238.0,0
06ec917ddedc618944670b39ccd5f4cb862882b2,Armin Ronacher,2010-04-19 23:54:38+02:00,"only escape backslashes if they follow ""<"" in json dumping for
templates.",flask.py,1,1,247.0,0
9f0b2429d638e54cb534b555c393d0770dfc1a8f,Armin Ronacher,2010-04-20 10:51:36+02:00,"the testsuite skips json tests now is not available and runs the example
tests as well.",flask_tests.py,22,1,255.0,0
715f64d2afef0e5b9800f0e0fb0eb9c892e1573a,Armin Ronacher,2010-04-20 13:01:10+02:00,some more documentation updates.,flask.py,24,11,253.0,0
3a1e51865786474c44a04c0d422515047dd27223,Armin Ronacher,2010-04-20 13:29:54+02:00,fixed typo and added authors file and license text to docs.,flask.py,1,1,253.0,1
9f6bc93e4de36fc209eb1203845e9505df1ca379,Armin Ronacher,2010-04-20 15:12:16+02:00,"fixed xss problem by escaping all slashes in json.

this also probes simplejson first to figure out if it escapes slashes
which it did in earlier versions.",flask.py,11,1,259.0,1
9f6bc93e4de36fc209eb1203845e9505df1ca379,Armin Ronacher,2010-04-20 15:12:16+02:00,"fixed xss problem by escaping all slashes in json.

this also probes simplejson first to figure out if it escapes slashes
which it did in earlier versions.",flask_tests.py,2,0,257.0,1
3c821a0fa45082bcec73dfb08662fb1de5263c48,florentx,2010-04-20 18:40:58+02:00,fix typos and remove unused import.,minitwit.py,3,2,172.0,1
3c821a0fa45082bcec73dfb08662fb1de5263c48,florentx,2010-04-20 18:40:58+02:00,fix typos and remove unused import.,flask.py,4,5,258.0,1
3c821a0fa45082bcec73dfb08662fb1de5263c48,florentx,2010-04-20 18:40:58+02:00,fix typos and remove unused import.,setup.py,4,2,29.0,1
75057bb4112d16acc7ed5dafce6a8168b343fd78,florentx,2010-04-20 18:44:54+02:00,slightly faster _tojson_filter.,flask.py,9,10,257.0,0
af3b73f70d5fce72181530d384519ae31d77c772,Armin Ronacher,2010-04-20 19:03:18+02:00,tiny refactoring,flask.py,5,9,256.0,0
3053fcdb0d6189ad1deca6fcfa16443dad4baf8c,Armin Ronacher,2010-04-20 20:01:00+02:00,"make the example tests pass on windows.

also updated the documentation regarding that.",flaskr_tests.py,7,2,42.0,0
3053fcdb0d6189ad1deca6fcfa16443dad4baf8c,Armin Ronacher,2010-04-20 20:01:00+02:00,"make the example tests pass on windows.

also updated the documentation regarding that.",minitwit_tests.py,7,2,99.0,0
00f87f679cdd63b642675d86d073882fb8b19430,Armin Ronacher,2010-04-20 21:44:52+02:00,flask uses 127.0.0.1 as host by default now. stupid chrome.,flask.py,1,1,256.0,0
9d340ad7477774a19a7bdffc83d6cb8cb3e05edc,florentx,2010-04-20 22:46:36+02:00,"fix a doc oversight, and revert 5876a8fd.",flask.py,1,0,256.0,1
7cf5a9bf6e34fc57f82e560f01c408fbe603e9d4,florentx,2010-04-21 00:40:43+02:00,"use a tuple to store _flashes, and simplify the flask.request class.",flask.py,3,7,252.0,0
b6e73305392c9de052e51cca6fae8fee12ae231e,florentx,2010-04-21 01:23:09+02:00,use setdefault() because it sets session.modified correctly.,flask.py,2,2,252.0,0
b6e73305392c9de052e51cca6fae8fee12ae231e,florentx,2010-04-21 01:23:09+02:00,use setdefault() because it sets session.modified correctly.,flask_tests.py,12,0,267.0,0
f014ce29a7cd5a3ccfabd61e7d66e017ed958e25,florentx,2010-04-21 04:46:36+08:00,"fix a doc oversight, and revert 5876a8fd.",flask.py,1,0,256.0,1
3eacc1d06816b2544e0242665fe909b24b027b21,florentx,2010-04-21 06:40:43+08:00,"use a tuple to store _flashes, and simplify the flask.request class.",flask.py,3,7,252.0,0
dbe0df756bf587b242f2406bef9e7e8ef26f0813,florentx,2010-04-21 07:23:09+08:00,use setdefault() because it sets session.modified correctly.,flask.py,2,2,252.0,0
dbe0df756bf587b242f2406bef9e7e8ef26f0813,florentx,2010-04-21 07:23:09+08:00,use setdefault() because it sets session.modified correctly.,flask_tests.py,12,0,267.0,0
88f671aaaef334caf3231095b119cac094ff5ffb,Armin Ronacher,2010-04-23 16:04:54+02:00,another try for #12,flask.py,42,0,281.0,0
a862ead5f22f9d4592c1c85bda285a4ded59b631,Armin Ronacher,2010-04-23 16:30:04+02:00,warn on none responses.,flask.py,6,1,257.0,0
a862ead5f22f9d4592c1c85bda285a4ded59b631,Armin Ronacher,2010-04-23 16:30:04+02:00,warn on none responses.,flask_tests.py,14,0,280.0,0
444e6425312a16589130ff36f2830b6f97fbbd4f,Armin Ronacher,2010-04-23 16:44:49+02:00,extended url generation,flask.py,24,16,293.0,0
e0148a00c0f468784052926f80e8112be7686470,Armin Ronacher,2010-04-23 17:01:20+02:00,"basic module support is working, but does not look very nice.",flask.py,41,14,316.0,0
e0148a00c0f468784052926f80e8112be7686470,Armin Ronacher,2010-04-23 17:01:20+02:00,"basic module support is working, but does not look very nice.",flask_tests.py,25,0,289.0,0
5c52fe980eda6065edcc39e6dd346636b1c40768,Armin Ronacher,2010-04-23 17:10:22+02:00,added request/response processing based on modules.,flask.py,7,5,318.0,0
5c52fe980eda6065edcc39e6dd346636b1c40768,Armin Ronacher,2010-04-23 17:10:22+02:00,added request/response processing based on modules.,flask_tests.py,37,1,322.0,0
2f181e19496a1fe693d9b20260fe961bb406c53b,Armin Ronacher,2010-04-23 17:16:59+02:00,removed unused package_name attribute,flask.py,1,2,317.0,0
67f4b0f31538832f06b9351d15e30c85f449ac7e,Armin Ronacher,2010-04-24 17:07:16+02:00,"modules are now instanciated with the package name.

this makes it possible to load resources from the folder the module is
located in.",flask.py,94,71,332.0,0
67f4b0f31538832f06b9351d15e30c85f449ac7e,Armin Ronacher,2010-04-24 17:07:16+02:00,"modules are now instanciated with the package name.

this makes it possible to load resources from the folder the module is
located in.",flask_tests.py,2,2,322.0,0
c0a9f5d0c4f09dbe8b744609552cbbfa9f14fbc0,Armin Ronacher,2010-04-24 17:35:25+02:00,documentation update for the flask module support.,flask.py,78,6,340.0,0
0da39c76e3c67293aef2234b43aff8728d9002eb,Armin Ronacher,2010-04-24 18:30:38+02:00,more documentation updates :),flask.py,16,0,345.0,0
a9bb965b6dcd931cefdc7dd05fa4c672b5dff69c,Sebastien Estienne,2010-04-25 03:44:11+08:00,add a decorator to add custom template filter,flask.py,22,0,266.0,0
a9bb965b6dcd931cefdc7dd05fa4c672b5dff69c,Sebastien Estienne,2010-04-25 03:44:11+08:00,add a decorator to add custom template filter,flask_tests.py,26,0,304.0,0
5c9ef2c44dce5afc99a0b3b539ebaafe9b8ce3c5,Sebastien Estienne,2010-04-25 17:39:19+08:00,the template_filter now expects the parentheses,flask.py,3,7,263.0,0
5c9ef2c44dce5afc99a0b3b539ebaafe9b8ce3c5,Sebastien Estienne,2010-04-25 17:39:19+08:00,the template_filter now expects the parentheses,flask_tests.py,1,10,296.0,0
4395e9493cc33d49b53889f9f726458f05f1a475,Sebastien Estienne,2010-04-25 20:44:24+08:00,add tests for template_filter using a real template,flask_tests.py,23,0,316.0,0
3ac4ec670c881668aaedb2c3937bae5e10984988,Armin Ronacher,2010-04-25 17:05:25+02:00,beefed up pdf docs.  they actually look like something now.,conf.py,11,19,40.0,0
36717b02731ad7d86ba8effbe27e70405e48cd9b,Armin Ronacher,2010-04-27 14:32:09+02:00,added support for long running sessions.  this closes #16.,flask.py,27,4,276.0,0
36717b02731ad7d86ba8effbe27e70405e48cd9b,Armin Ronacher,2010-04-27 14:32:09+02:00,added support for long running sessions.  this closes #16.,flask_tests.py,27,0,341.0,0
f1603d33f266ab24eda604f76632fa604b91e3f9,Armin Ronacher,2010-05-02 11:36:42+02:00,docs mention query args now.  this fixes #20,flask.py,4,0,276.0,1
75461c1467bbb2d83ee787bb13f4a338a4b8ad3e,Armin Ronacher,2010-05-02 19:10:44+02:00,added _external support to url_for,flask.py,4,1,278.0,0
75461c1467bbb2d83ee787bb13f4a338a4b8ad3e,Armin Ronacher,2010-05-02 19:10:44+02:00,added _external support to url_for,flask_tests.py,2,0,343.0,0
9248a7baca5bc616a60f9b63b525e872fbfddef2,Armin Ronacher,2010-05-03 13:07:30+02:00,none responses fail properly now.  this fixes #24,flask.py,1,4,275.0,1
dffb3d091c0e42b7254fe88218811c24c0054f7e,Armin Ronacher,2010-05-03 14:39:16+02:00,removed useless import and adapted tests,flask.py,0,1,274.0,0
dffb3d091c0e42b7254fe88218811c24c0054f7e,Armin Ronacher,2010-05-03 14:39:16+02:00,removed useless import and adapted tests,flask_tests.py,3,3,343.0,0
67fc46526234653b0a519e9f1e8a05a2c40c80f8,florentx,2010-05-04 01:38:25+08:00,"fix typo, remove useless import, limit lines to 79 columns.",flask.py,4,2,274.0,1
67fc46526234653b0a519e9f1e8a05a2c40c80f8,florentx,2010-05-04 01:38:25+08:00,"fix typo, remove useless import, limit lines to 79 columns.",flask_tests.py,8,7,344.0,1
bc0c0559e384dc88441775a3907487f4a2b515b4,Armin Ronacher,2010-05-04 11:23:01+02:00,added openid example,openidexample.py,165,0,108.0,0
bc0c0559e384dc88441775a3907487f4a2b515b4,Armin Ronacher,2010-05-04 11:23:01+02:00,added openid example,simpleopenid.py,108,0,60.0,0
a921aef6c47cecbacef5173f03c07c52e6bc8fea,Armin Ronacher,2010-05-04 11:41:54+02:00,fixed late binding of url_prefix.  this fixes #29.,flask.py,1,1,361.0,1
a921aef6c47cecbacef5173f03c07c52e6bc8fea,Armin Ronacher,2010-05-04 11:41:54+02:00,fixed late binding of url_prefix.  this fixes #29.,flask_tests.py,9,0,407.0,1
745638e774063de206aae930df71789de13e7c73,Armin Ronacher,2010-05-04 11:51:07+02:00,"added missing decorators for module wide context processors.

this fixes #25.",flask.py,18,2,369.0,1
745638e774063de206aae930df71789de13e7c73,Armin Ronacher,2010-05-04 11:51:07+02:00,"added missing decorators for module wide context processors.

this fixes #25.",flask_tests.py,23,0,429.0,1
34e3d64892f2281aa1b6f6357c345b0a357ee51a,Armin Ronacher,2010-05-07 20:16:00+02:00,"removed theme, this is now refactored to an external reusable theme.",conf.py,2,5,39.0,0
2d87e9bc37ef1ce8f9068fac92783a4fe3d3d382,Armin Ronacher,2010-05-10 11:27:42+02:00,added support for send_file,flask.py,74,1,310.0,0
2d87e9bc37ef1ce8f9068fac92783a4fe3d3d382,Armin Ronacher,2010-05-10 11:27:42+02:00,added support for send_file,flask_tests.py,84,1,416.0,0
5bb2b55a2880b3c91dbcd6580f3d25ee23c6655c,Armin Ronacher,2010-05-10 11:35:43+02:00,explicitly set the pygments style for the pdf,conf.py,2,0,40.0,0
f80e1d3b5ab8e718cc67c814cbfd9aee9c95f45f,Armin Ronacher,2010-05-12 01:02:20+02:00,added note on send_file security.,flask.py,7,0,310.0,0
b0ab127015186e1a2918221ffad8d79ca346faf5,Armin Ronacher,2010-05-12 01:29:25+02:00,added logo with new slogan,setup.py,1,1,29.0,0
07581b2404924fe1833f596cfa09caf69868ad5b,Armin Ronacher,2010-05-12 01:32:29+02:00,head is 0.5-dev,setup.py,1,1,29.0,0
e409bc792d4419ed588afbc60c53b61923c415a7,Armin Ronacher,2010-05-12 02:34:22+02:00,fixed typo,flask.py,1,1,405.0,1
a5a41d40aaa9f6ed70b487133ddaf48ceb3d054f,Zhao Xiaohong,2010-05-13 14:42:03+08:00,fix typo.,flask.py,1,1,405.0,1
693e4449f87950c764a928690f4437fd6b1b4d7d,Zhao Xiaohong,2010-05-13 15:22:03+08:00,fix typo.,flask.py,2,2,405.0,1
35ed617fe41b184288892f733ce07d94391b76b1,Armin Ronacher,2010-05-17 00:37:55+02:00,"added support for flashing categories.

this fixes #35.",flask.py,29,4,407.0,1
35ed617fe41b184288892f733ce07d94391b76b1,Armin Ronacher,2010-05-17 00:37:55+02:00,"added support for flashing categories.

this fixes #35.",flask_tests.py,29,0,526.0,1
931dcc4c80331d372d70d7a0a5c8e6d49223e2bf,Armin Ronacher,2010-05-17 01:41:57+02:00,fixed a doc bug and added distribtue docs.,flask.py,1,1,407.0,1
e7f67e13339073007a84271cce91200bfdb81006,Armin Ronacher,2010-05-17 16:06:30+02:00,added logging support.,flask.py,65,9,436.0,0
e7f67e13339073007a84271cce91200bfdb81006,Armin Ronacher,2010-05-17 16:06:30+02:00,added logging support.,flask_tests.py,63,1,576.0,0
ea5e654e9e19aab5089f9a71e679bcca11581e86,Armin Ronacher,2010-05-17 22:46:35+02:00,added a documentation chapter about logging,conf.py,2,0,42.0,0
ea5e654e9e19aab5089f9a71e679bcca11581e86,Armin Ronacher,2010-05-17 22:46:35+02:00,added a documentation chapter about logging,flask.py,15,9,437.0,0
ea5e654e9e19aab5089f9a71e679bcca11581e86,Armin Ronacher,2010-05-17 22:46:35+02:00,added a documentation chapter about logging,flask_tests.py,22,0,597.0,0
54c3df60cd533ea80d347f6715ee84f6a560b5d5,Armin Ronacher,2010-05-17 23:21:22+02:00,fixed a doc config error,conf.py,2,2,42.0,1
b26aeba972686b9cb9a9b111e1bc8997e1f259c8,Armin Ronacher,2010-05-18 01:41:42+02:00,fixed a testcase,flask_tests.py,2,1,598.0,1
e84140aba2786655bbddcedb363d16de1e285441,Armin Ronacher,2010-05-18 01:41:07+02:00,started working on config support,flask.py,39,11,456.0,0
c4cac0abc1a04710a25dcfc8d7f1b2de173546a8,Armin Ronacher,2010-05-18 02:36:50+02:00,improved configuration support.,flask.py,95,10,475.0,0
c4cac0abc1a04710a25dcfc8d7f1b2de173546a8,Armin Ronacher,2010-05-18 02:36:50+02:00,improved configuration support.,flask_tests.py,24,0,614.0,0
cbcd15c3b55cfb05f1b27aa2343f909876f8d3d4,Armin Ronacher,2010-05-24 08:38:28+02:00,beefed up latex output.  unfortunately parts look ugly.,conf.py,1,0,43.0,0
cbcd15c3b55cfb05f1b27aa2343f909876f8d3d4,Armin Ronacher,2010-05-24 08:38:28+02:00,beefed up latex output.  unfortunately parts look ugly.,flask.py,7,0,439.0,0
ef0dc1800f7558abbefe070f361b97b9161b2452,Armin Ronacher,2010-05-24 18:37:48+02:00,"added interactive python docs, fixed part style.",flask.py,35,2,444.0,1
ef0dc1800f7558abbefe070f361b97b9161b2452,Armin Ronacher,2010-05-24 18:37:48+02:00,"added interactive python docs, fixed part style.",flask_tests.py,17,0,613.0,1
6c095deda51efb34cd18bd23411ebd6f2a0cdfe0,Armin Ronacher,2010-05-25 08:17:55+02:00,fixed docstring.  this fixes #45,flask.py,2,2,444.0,1
9d19b77acf413de77b39ed1c6d972fb1e5fef1c3,Armin Ronacher,2010-05-26 14:49:01+02:00,"added lazyloading pattern and explicit chapter links in tutorial.

this fixes #49.",conf.py,2,2,45.0,1
9d19b77acf413de77b39ed1c6d972fb1e5fef1c3,Armin Ronacher,2010-05-26 14:49:01+02:00,"added lazyloading pattern and explicit chapter links in tutorial.

this fixes #49.",minitwit.py,1,0,173.0,1
74d458b40c0bdb140e7feab9af407642eb3dcea1,Armin Ronacher,2010-05-26 15:30:06+02:00,added versionadded for logger,flask.py,2,0,444.0,0
